Quel architecte fût à l'origine des plans du Woolworth building,Cass Gilbert
Où se trouvait Franck Woolworth lors de l'inauguration de son immeuble New Yorkais ,Washington
Comment fût payé le bâtiment commandé par Franck Woolworth,en cash
En quelle année ouvrit le Woolworth Building ,1913
Qui commanda la construction du Woolworth Building ,Frank Woolworth
Quelle femme devint reine aux côtés de Philippe le Bel ,Jeanne Ire de Navarre
Quel créancier du roi fut supprimé en 1312 ,l'ordre du Temple
Quel créancier du roi fut supprimé en 1312 ,l'ordre du Temple
Quelle raison pousse Philippe Le Bel à organiser les premiers Etats généraux ,pour lever de nouveaux impôts
Quel souverain utilise les dévaluations monétaires pour s'enrichir ,Philippe IV le Bel
Quel souverain rattacha le compté de Toulouse au royaume ,Philippe III le Hardi
Qui succède à Louis 8 ,Saint Louis
Quels territoires Louis 8 réussit-il à prendre ,des fiefs dans le midi
Quels territoires Louis 8 réussit-il à prendre ,le midi
Combien de temps dura le règne de Louis 8 ,trois ans
Quelle position occupe Saint Louis dans la justice qu'il instaure ,juge et arbitre
Quelle position occupe Saint Louis dans la justice qu'il instaure ,le rôle de juge et arbitre
Quand est-ce que Saint Louis fût en croisade ,1248 à 1254
Pourquoi le roi des francs est-il devenu le roi de France ,étendre le domaine royal au détriment des princes
Quand est-ce que le roi des francs est-il devenu le roi de France ,1204
En quelle année Philippe II Auguste s'empare t-il du compté d'Amiens ,1185
Comment Philippe Auguste utilise t-il le droit féodal ,prononcer une confiscation, dont le duché de Normandie
Comment Philippe Auguste utilise t-il le droit féodal ,pour prononcer une confiscation
Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ,Jean d'Angleterre
Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ,Jean d'Angleterre
Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ,Jean d'Angleterre
A quelle époque la vision du royaume change-t-elle ,Sous le règne de Louis VI
Quel est le roi qui mena plusieurs expédition dans le royaume ,Louis VI
Pourquoi Louis VI mena-t-il plusieurs expédition dans le royaume ,pour soumettre les châtelains qui ne reconnaissent pas son pouvoir
Quel roi a poursuivi l'unification du royaume initié par Louis VI ,Louis VII
Quelle est le nom de la Reine de Louis VII ,Aliénor d'Aquitaine
Quelle est le nom de la Reine de Louis VII ,Aliénor d'Aquitaine
En quoi consiste la sélection massale ,repérer les meilleurs pieds de vigne, à en prélever des bout de sarments pour ensuite les greffer
Y a-t-il des vignes issues de la sélection massale en côte des blancs ,beaucoup de vignobles plantés en sélection massale
Y a-t-il des vignes issues de la sélection massale en côte des blancs ,On compte encore beaucoup de vignobles plantés en sélection massale
Comment s'appelle le processus de greffer les bouts de sarments prélevés sur les meilleurs pieds de vignes ,sélection massale
Quelle est la type de sélection qui s'oppose à la sélection massale ,sélection clonale
Quel est le problème engendré par la sélection clonale ,réduction de la diversité génétique
Combien d'espèces rares il y a t-il parmi les plantes de la côte des blancs ,quarante
Combien d'espèces rares il y a t-il parmi les plantes de la côte des blancs ,quarante espèce rares ou protégées
Pouvez-vous me donner des examples d'espèces animales menacés vivant dans la cote des blancs ,coléoptères, libellules, criquets et sauterelles
Pouvez-vous me donner des examples d'espèces animales menacés vivant dans la cote des blancs ,coléoptères, libellules, criquets et sauterelles
Peut-on voir des oiseaux dans la côte des blancs ,attirent une avifaune diversifiée
Où vivent les chauves-souris de la cote des blancs ,carrières souterraines
Y a-t-il des reptiles dans la côte des blancs ,reptiles y sont eux aussi relativement nombreux
À quel endroit commence la côte des blancs ,au bois de Cormont
Quels sont les petites villes qui entourent la cote des blancs ,Avize, Cramant, Cuis et Grauves
Quels sont les petites villes qui entourent la cote des blancs ,Avize, Cramant, Cuis et Grauves
A quelle hauteur monte le mont Saran ,243 m d'altitude
A quelle hauteur monte le mont Saran ,243 m
Quelles est la hauteur moyenne de la côte des blancs ,100 et 200 mètres
Quelles est la hauteur moyenne de la côte des blancs ,100 et 200 mètres
Quel est le nom du mont su sud de la cote des blancs ,Aimé
